id,name,temp_avg,temp_max,temp_min,date_time
558,DW2642,26.65,27.2,26.1,2021-03-27
559,E20EHQ-13,27.8,27.8,27.8,2021-03-27
560,E21DII-4,-37.8,-20.6,-55.0,2021-03-27
561,E21TMW-3,26.15,26.7,25.6,2021-03-27
562,E22ERY-2,35.85,36.1,35.6,2021-03-27
563,E23GYM-1,34.15,34.4,33.9,2021-03-27
564,E23HMS-1,-17.8,-17.8,-17.8,2021-03-27
565,E23JWE-1,30.6,30.6,30.6,2021-03-27
566,E24CI-1,26.65,27.2,26.1,2021-03-27
567,E24OWX-1,33.05,33.9,32.2,2021-03-27
568,E24TVS-1,28.05,28.3,27.8,2021-03-27
569,E24TVS-2,31.4,31.7,31.1,2021-03-27
570,E24YPM-1,30.85,31.1,30.6,2021-03-27
571,E25HA-1,31.7,31.7,31.7,2021-03-27
572,E27ASY-4,28.35,28.9,27.8,2021-03-27
573,E29RZQ,30.85,31.1,30.6,2021-03-27
574,E29WWT-2,25.3,25.6,25.0,2021-03-27
575,EW4214,28.6,28.9,28.3,2021-03-27
576,FW0368,28.05,28.3,27.8,2021-03-27
577,FW1926,29.15,29.4,28.9,2021-03-27
578,FW6985,28.6,28.9,28.3,2021-03-27
579,HS0QKD-2,32.5,32.8,32.2,2021-03-27
580,HS0QKD-3,30.3,30.6,30.0,2021-03-27
581,HS0QKD-4,42.25,42.8,41.7,2021-03-27
582,HS1FVL-10,32.5,32.8,32.2,2021-03-27
583,HS1HTW-2,30.0,30.6,29.4,2021-03-27
584,HS1MHE-1,36.400000000000006,37.2,35.6,2021-03-27
585,HS2AB-10,31.950000000000003,32.2,31.7,2021-03-27
586,HS2AR-10,25.85,26.1,25.6,2021-03-27
587,HS2GJW-1,30.25,31.1,29.4,2021-03-27
588,HS2UJE-10,27.5,27.8,27.2,2021-03-27
589,HS2XQB-3,24.15,24.4,23.9,2021-03-27
590,HS3AK-10,31.15,31.7,30.6,2021-03-27
591,HS3AU-10,33.05,33.3,32.8,2021-03-27
592,HS3LIQ-2,41.400000000000006,41.7,41.1,2021-03-27
593,HS3LSE-5,28.9,28.9,28.9,2021-03-27
594,HS3MXC-2,30.0,30.6,29.4,2021-03-27
595,HS3PIK-2,29.4,29.4,29.4,2021-03-27
596,HS3PQJ-3,28.85,29.4,28.3,2021-03-27
597,HS3RVL-3,26.65,27.2,26.1,2021-03-27
598,HS4AC-10,33.349999999999994,33.9,32.8,2021-03-27
