id,name,temp,temp_avg,temp_max,temp_min,date_time
1,HS9AN-10,25.0,25.0,25.0,25.0,2021-03-12 21:25:30+00:00
2,HS9AS-10,30.0,30.0,30.0,30.0,2020-12-26 11:14:10+00:00
3,HS9AT-10,27.2,27.2,27.2,27.2,2021-03-12 21:14:10+00:00
4,HS8AK-10,28.3,28.3,28.3,28.3,2021-03-12 21:25:35+00:00
5,HS8AT-10,30.0,30.0,30.0,30.0,2021-03-12 21:25:29+00:00
6,E23JWE-1,30.6,30.6,30.6,30.6,2021-03-12 21:18:57+00:00
7,HS8KF-10,27.2,27.2,27.2,27.2,2021-03-12 21:19:34+00:00
8,HS8INB-1,28.3,28.3,28.3,28.3,2021-03-12 20:47:22+00:00
9,E29RZQ,28.9,28.9,28.9,28.9,2021-03-12 21:21:06+00:00
10,HS8KAY,32.8,32.8,32.8,32.8,2021-03-12 21:23:48+00:00
11,E29AE-8,31.7,31.7,31.7,31.7,2021-03-12 09:41:07+00:00
12,E29WWT-2,23.3,23.3,23.3,23.3,2021-03-12 21:17:59+00:00
13,HS8AC-10,28.3,28.3,28.3,28.3,2020-12-15 04:58:23+00:00
14,HS7AJ-10,31.1,31.1,31.1,31.1,2021-03-12 21:16:43+00:00
15,HS7AP-10,26.7,26.7,26.7,26.7,2021-03-12 21:15:43+00:00
16,HS2KYA-5,27.8,27.8,27.8,27.8,2021-03-12 21:06:01+00:00
17,HS2KYA-1,27.8,27.8,27.8,27.8,2021-03-12 21:24:06+00:00
18,HS2AB-10,30.0,30.0,30.0,30.0,2021-03-12 21:23:08+00:00
19,HS2UJE-10,26.7,26.7,26.7,26.7,2021-03-12 12:39:15+00:00
20,HS2QJJ-14,23.3,23.3,23.3,23.3,2021-01-11 15:02:18+00:00
21,HS2AR-10,26.7,26.7,26.7,26.7,2021-03-12 21:16:43+00:00
22,E21TMW-3,30.0,30.0,30.0,30.0,2021-03-12 10:15:25+00:00
23,E27EHM-3,31.7,31.7,31.7,31.7,2021-03-12 21:18:53+00:00
24,E22ERY-2,33.3,33.3,33.3,33.3,2021-03-12 21:25:31+00:00
25,E27HCD-1,32.2,32.2,32.2,32.2,2021-03-08 14:40:35+00:00
26,E24OWX-2,25.0,25.0,25.0,25.0,2021-03-12 21:17:44+00:00
27,E27HUQ-3,28.9,28.9,28.9,28.9,2021-03-12 21:15:54+00:00
28,E23GYM-1,32.8,32.8,32.8,32.8,2021-03-12 21:17:12+00:00
