id,name,type
1,HS9AN-10,w
2,HS9AS-10,w
3,HS9AT-10,w
4,HS8AK-10,w
5,HS8AT-10,w
6,E23JWE-1,w
7,HS8KF-10,l
8,HS8INB-1,w
9,E29RZQ,w
10,HS8KAY,w
11,E29AE-8,w
12,E29WWT-2,l
13,HS8AC-10,l
14,HS7AJ-10,w
15,HS7AP-10,w
16,HS2KYA-5,w
17,HS2KYA-1,w
18,HS2AB-10,l
19,HS2UJE-10,l
20,HS2QJJ-14,w
21,HS2AR-10,l
22,E21TMW-3,w
23,E27EHM-3,w
24,E22ERY-2,w
25,E27HCD-1,l
26,E24OWX-2,l
27,E27HUQ-3,w
28,E23GYM-1,l
29,HS0QKD-2,l
30,HS2XQB-3,l
31,E24CI-1,l
32,HS0QKD-3,l
33,HS5SQI-1,l
34,HS2GJW-1,w
35,E21HVV-1,w
36,HS2PQV-1,w
37,FW6985,w
38,FW1926,w
39,EW4214,w
40,HS1FVL-10,w
41,HS1AN-10,w
42,E25ECY-1,l
43,HS1IFU-13,w
44,HS7AT-11,w
45,HS7AM-10,w
46,E20EHQ-13,w
47,HS1HTW-2,w
48,HS5GDX-1,l
49,HS3PIK-2,w
50,FW0368,w
51,E27ASY-4,w
52,HS1AL-10,w
53,APRSTH,l
54,HS3RXX-2,w
55,HS0QKD-4,l
56,E21DII-4,w
57,HS4RBS-2,w
58,HS3PKX-1,w
59,HS3NOQ-12,w
60,HS3NOQ-2,w
61,HS3PQJ-2,w
62,HS3PQJ-1,l
63,HS3PQJ-3,w
64,HS3LIQ-2,l
65,HS5GDX-2,l
66,HS3ICB-2,w
67,HS0ZGD-1,w
68,E23HMS-1,w
69,HS3LSE-11,l
70,HS3RVL-3,w
71,HS3AK-10,w
72,HS3MXC-2,w
73,HS3AU-10,w
74,HS3LSE-5,w
75,HS1MHE-1,l
76,HS4RAY-1,w
77,E24QND-1,w
78,E24QFF-1,l
79,HS4AP-10,w
80,E25HA-1,w
81,HS4LWD-1,w
82,HS4AC-10,w
83,HS4YYZ-1,l
84,E24TVS-2,w
85,E24TVS-1,l
86,E27AH-1,w
87,HS4ROI-1,l
88,HS4POQ-10,w
89,HS6NYW-3,l
90,HS6AB-10,w
91,E24OWX-1,w
92,E24YPM-1,w
93,HS6TUX,l
94,HS5XSZ-1,w
95,HS8JHY-1,w
96,HS5AM-10,w
97,HS5FXK-2,w
98,HS5ZEZ-1,l
99,HS5FXK,w
100,E28UY-13,w
101,DW2642,w
102,E22ZMG-1,w
103,HS5AC-10,w
104,HS5WFI-13,w
